surah,ayah,latin_iast,latin_ascii
6,128,"āra yedina āllāha tādera sakalake ekatrita karavena, sedina tini valavenaḥ he jina sampradāẏa! tomarā mānuṣera madhye anekake vibhrānta kare anugāmī karecha, āra odera madhye yādera mānuṣera sāthe vandhuṛtvera samparka chila tārā svīkāroktite valaveḥ he āmādera rāvva! āmarā eke aparera dvārā upakṛta haẏechi. hāẏa! āpani āmādera janya ye nirdiṣṭa samaẏa nirdhāraṇa karechena tā ese geche! takhana (kiẏāmāta divase) āllāha (samasta kāphira jina o mānuṣake) valavenaḥ jāhānnāmai hacche tomādera vāsasthāna, tāte tomarā cirasthāẏībhāve thākave, tave āllāha yāderake cāivena (tārāi tā theke mukti pete pāre) tomādera rāvva atiśaẏa sammānita evaṃ atyanta jñānavāna.","ara yedina allaha tadera sakalake ekatrita karavena, sedina tini valavenah he jina sampradaya! tomara manusera madhye anekake vibhranta kare anugami karecha, ara odera madhye yadera manusera sathe vandhurtvera samparka chila tara svikaroktite valaveh he amadera ravva! amara eke aparera dvara upakrta hayechi. haya! apani amadera janya ye nirdista samaya nirdharana karechena ta ese geche! takhana (kiyamata divase) allaha (samasta kaphira jina o manusake) valavenah jahannamai hacche tomadera vasasthana, tate tomara cirasthayibhave thakave, tave allaha yaderake caivena (tarai ta theke mukti pete pare) tomadera ravva atisaya sammanita evam atyanta jnanavana."
6,129,emanibhāvei āmi yālimaderake (kāphiraderake) tādera kṛtakarmera phale parasparake parasparera upara prabhāvaśālī o kartṛtvaśālī vāniẏe diva.,emanibhavei ami yalimaderake (kaphiraderake) tadera krtakarmera phale parasparake parasparera upara prabhavasali o kartrtvasali vaniye diva.
6,130,"(kiẏāmāta divase āllāha jijñesa karavena) he jina o mānava jāti! tomādera kāche ki tomādera madhya hatei nāvī rāsūla āseni yārā tomādera kāche āmāra āẏātasamūha varṇanā karata evaṃ ājakera e dinera vyāpāre tomādera sākṣāta haoẏāra bhīti pradarśana kareni? tārā javāva diveḥ hyā~, āmarāi āmādera viruddhe sākṣya dicchi (arthāt āmarā aparādha karechi), pārthiva jīvanai tāderake dho~kāẏa nipatita karechila. āra tārāi nijedera viruddhe sākṣya dive ye, tārā kāphira chila.","(kiyamata divase allaha jijnesa karavena) he jina o manava jati! tomadera kache ki tomadera madhya hatei navi rasula aseni yara tomadera kache amara ayatasamuha varnana karata evam ajakera e dinera vyapare tomadera saksata haoyara bhiti pradarsana kareniy tara javava diveh hya~, amarai amadera viruddhe saksya dicchi (arthat amara aparadha karechi), parthiva jivanai taderake dho~kaya nipatita karechila. ara tarai nijedera viruddhe saksya dive ye, tara kaphira chila."
6,131,"ei rāsūla preraṇa e janya ye, tomāra rāvva kona janapadake uhāra adhivāsīrā satya samparke ajñāta thākā avasthāẏa anyāẏabhāve dhvaṃsa karena nā.","ei rasula prerana e janya ye, tomara ravva kona janapadake uhara adhivasira satya samparke ajnata thaka avasthaya anyayabhave dhvamsa karena na."
6,132,"āra pratyeka lokai nija nija ‘āmalera kāraṇe maryādā lābha karave, tārā ki ‘āmala karata se viṣaẏe tomāra rāvva udāsīna nana.","ara pratyeka lokai nija nija ‘amalera karane maryada labha karave, tara ki ‘amala karata se visaye tomara ravva udasina nana."
6,133,"tomāra rāvva amukhāpekṣī o daẏāśīla, tā~ra icchā hale tomāderake apasārita karavena evaṃ tomādera pare tomādera sthāne yāke icchā sthalābhiṣikta karavena, yemana tini tomāderake anya eka jātira vaṃśadhara hate sṛṣṭi karechena.","tomara ravva amukhapeksi o dayasila, ta~ra iccha hale tomaderake apasarita karavena evam tomadera pare tomadera sthane yake iccha sthalabhisikta karavena, yemana tini tomaderake anya eka jatira vamsadhara hate srsti karechena."
6,134,"tomādera nikaṭa ye viṣaẏa samparke pratiśruti deẏā haẏeche tā avaśyambhāvī, tomarā āllāhake akṣama o durvala karate pāravenā.","tomadera nikata ye visaya samparke pratisruti deya hayeche ta avasyambhavi, tomara allahake aksama o durvala karate paravena."
6,135,"tumi vale dāoḥ he āmāra sampradāẏa! tomarā nija nija avasthāẏa ‘āmala karate thāka, āmio ‘āmala karachi, ataḥpara śīghrai tomarā jānate pārave ye, kāra pariṇāma kalyāṇakara. niḥsandehe atyācārīrā kakhanao mukti o sāphalya lābha karate pāravenā.","tumi vale daoh he amara sampradaya! tomara nija nija avasthaya ‘amala karate thaka, amio ‘amala karachi, atahpara sighrai tomara janate parave ye, kara parinama kalyanakara. nihsandehe atyacarira kakhanao mukti o saphalya labha karate paravena."
6,136,"āra āllāha ye sava śasya o paśu sṛṣṭi karechena, tārā (muśarikarā) ora ekaṭi aṃśa āllāhara janya nirdhāraṇa kare thāke. ataḥpara nijedera dhāraṇā mate tārā vale ye, ei aṃśa āllāhara janya evaṃ ei aṃśa āmādera śarīkadera janya. kintu yā tādera śarīkadera janya nirdhārita haẏe thāke, tāto āllāhara dike pau~chenā, pakṣāntare yā āllāhara janya nirdhāraṇa karā haẏechila tā tādera śarīkadera kāche pau~che thāke. ei lokadera phāisālā o vanṭana nīti katai nā nikṛṣṭa!","ara allaha ye sava sasya o pasu srsti karechena, tara (musarikara) ora ekati amsa allahara janya nirdharana kare thake. atahpara nijedera dharana mate tara vale ye, ei amsa allahara janya evam ei amsa amadera sarikadera janya. kintu ya tadera sarikadera janya nirdharita haye thake, tato allahara dike pau~chena, paksantare ya allahara janya nirdharana kara hayechila ta tadera sarikadera kache pau~che thake. ei lokadera phaisala o vantana niti katai na nikrsta!"
6,137,"āra emanibhāve aneka muśarikera dṛṣṭite tādera upāsyarā tādera santāna hatyā karāke śobhaṇīẏa kare diẏeche, yena tārā tādera sarvanāśa karate pāre evaṃ tādera kāche tādera dharmake vibhrānta kare dite pāre. āllāha cāile tārā esava kāja karate pāratanā. sutarāṃ tumi tāderake evaṃ tādera bhrānta uktigulike cher̤e dāo.","ara emanibhave aneka musarikera drstite tadera upasyara tadera santana hatya karake sobhaniya kare diyeche, yena tara tadera sarvanasa karate pare evam tadera kache tadera dharmake vibhranta kare dite pare. allaha caile tara esava kaja karate paratana. sutaram tumi taderake evam tadera bhranta uktigulike chere dao."
6,138,"āra tārā vale thākeḥ ei sava nirdiṣṭa paśu o kṣetera phasala surakṣita, kehai tā āhāra karate pāravenā, tave yāderake āmarā anumati diva (tārāi āhāra karate pārave), āra (tārā vale) ei viśeṣa paśugulira upara ārohaṇa karā o bhāra vahana niṣedha kare deẏā haẏeche. āra katakaguli viśeṣa paśu raẏeche yegulike yavāha karāra samaẏa tārā āllāhara nāma uccāraṇa karenā, śudhu āllāhara prati mithyā āropa karāra uddeśe. āllāha esava mithyā āropera pratiphala ati sattvarai dāna karavena.","ara tara vale thakeh ei sava nirdista pasu o ksetera phasala suraksita, kehai ta ahara karate paravena, tave yaderake amara anumati diva (tarai ahara karate parave), ara (tara vale) ei visesa pasugulira upara arohana kara o bhara vahana nisedha kare deya hayeche. ara katakaguli visesa pasu rayeche yegulike yavaha karara samaya tara allahara nama uccarana karena, sudhu allahara prati mithya aropa karara uddese. allaha esava mithya aropera pratiphala ati sattvarai dana karavena."
