surah,ayah,latin_iast,latin_ascii
2,18,"tārā vadhira, vākaśaktihīna o andha. ataeva tārā (saṭhika pathera dike) phire āsave nā.","tara vadhira, vakasaktihina o andha. ataeva tara (sathika pathera dike) phire asave na."
2,19,"athavā tādera dṛṣṭānta ākāśa hate pāni varṣaṇera nyāẏa yāte raẏeche andhakāra, garjana o vidyut camaka. tārā vajradhvanivaśataḥ mṛtyu bhaẏe tādera karṇasamūhe tādera aṅguli ḍhukiẏe deẏa āra āllāha kāphiraderake pariveṣṭanakārī.","athava tadera drstanta akasa hate pani varsanera nyaya yate rayeche andhakara, garjana o vidyut camaka. tara vajradhvanivasatah mrtyu bhaye tadera karnasamuhe tadera anguli dhukiye deya ara allaha kaphiraderake parivestanakari."
2,20,"mane haẏa yena vidyut camaka tādera dṛṣṭiśakti ker̤e neve, yakhana tini tādera janya ekaṭu ālo (vidyut) prajjvalita karena takhana tāte tārā calate thāke evaṃ yakhana tādera opara andhakārācchanna karena takhana tārā dā~r̤iẏe thāke. āra yadi āllāha icchā karena niścaẏa tādera śravaṇaśakti o tādera darśanaśakti haraṇa karate pārena. niścaẏa āllāha sarva viṣaẏera opara śaktimāna.","mane haya yena vidyut camaka tadera drstisakti kere neve, yakhana tini tadera janya ekatu alo (vidyut) prajjvalita karena takhana tate tara calate thake evam yakhana tadera opara andhakaracchanna karena takhana tara da~riye thake. ara yadi allaha iccha karena niscaya tadera sravanasakti o tadera darsanasakti harana karate parena. niscaya allaha sarva visayera opara saktimana."
2,21,he mānava maṇḍalī! tomarā tomādera ravera ivādata kara yini tomāderake o tomādera pūrvavartīderake sṛṣṭi karechena yena tomarā tākvaoẏā avalamvanakārī hao.,he manava mandali! tomara tomadera ravera ivadata kara yini tomaderake o tomadera purvavartiderake srsti karechena yena tomara takvaoya avalamvanakari hao.
2,22,"yini tomādera janya jaminake vichānā o ākāśake chādasvarūpa karechena evaṃ yini ākāśa hate pāni varṣaṇa karena, ataḥpara tāra dvārā tomādera janya jīvikāsvarūpa phala utpādana karena, ataeva tomarā jene-śune āllhāra sāthe kāuke śarīka kara nā.","yini tomadera janya jaminake vichana o akasake chadasvarupa karechena evam yini akasa hate pani varsana karena, atahpara tara dvara tomadera janya jivikasvarupa phala utpadana karena, ataeva tomara jene-sune allhara sathe kauke sarika kara na."
2,23,"evaṃ āmi āmāra vāndāra prati yā avatīrṇa karechi tāte tomarā yadi sandihāna hao, tave tāra samatulya ekaṭi ‘sūrā’tairi kare niẏe eso evaṃ āllāha vyatīta tomādera sāhāyyakārīderake āhvāna kara; yadi tomarā satyavādī hao.","evam ami amara vandara prati ya avatirna karechi tate tomara yadi sandihana hao, tave tara samatulya ekati ‘sura’tairi kare niye eso evam allaha vyatita tomadera sahayyakariderake ahvana kara; yadi tomara satyavadi hao."
2,24,"anantara yadi tomarā tā karate nā pāra evaṃ tomarā tā kakṣano karate pārave nā, tāhale tomarā sei jāhānnāmake bhaẏa kara yāra indhana hacche mānuṣa o pāthara yā tairi kare rākhā haẏeche kāphiradera janya.","anantara yadi tomara ta karate na para evam tomara ta kaksano karate parave na, tahale tomara sei jahannamake bhaya kara yara indhana hacche manusa o pathara ya tairi kare rakha hayeche kaphiradera janya."
2,25,"āra yārā īmāna eneche evaṃ neka āmala kareche tāderake susaṃvāda pradāna kara ye, tādera janya emana jānnāta raẏeche yāra taladeśa diẏe nadīsamūha pravāhita haẏa. yakhanai tā hate tāderake riyika hiseve phalasamūha pradāna karā have, takhana tārā valave- eṭā to pūrvei āmarā peẏechilāma āra tāderake era dvārā ora sadṛśa pradāna karā have evaṃ tādera janya tanmadhye raẏeche pavitrā sahadharminī evaṃ sekhāne tārā cirakāla avasthāna karave.","ara yara imana eneche evam neka amala kareche taderake susamvada pradana kara ye, tadera janya emana jannata rayeche yara taladesa diye nadisamuha pravahita haya. yakhanai ta hate taderake riyika hiseve phalasamuha pradana kara have, takhana tara valave- eta to purvei amara peyechilama ara taderake era dvara ora sadrsa pradana kara have evam tadera janya tanmadhye rayeche pavitra sahadharmini evam sekhane tara cirakala avasthana karave."
2,26,"niścaẏa āllāha maśā athavā tadapekṣā kṣudratara vastura dvārā dṛṣṭānta varṇanā karate lajjāvodha karena nā. sutarāṃ yārā īmāna eneche tārā jāne ye, e satya (upamā) tādera pratipālakera pakṣa theke eseche. āra yārā kāphira haẏeche sarvāvasthāẏa tārā vale esava nagaṇya vastura upamā dvārā āllāhara uddeśyai vā ki? tini era dvārā anekake vipathagāmī karena evaṃ anekake saṭhika patha pradarśana karena, āra era dvārā tini śudhu phāsikaderakei (pāpiṣṭa, anācārī) vipathagāmī kare thākena.","niscaya allaha masa athava tadapeksa ksudratara vastura dvara drstanta varnana karate lajjavodha karena na. sutaram yara imana eneche tara jane ye, e satya (upama) tadera pratipalakera paksa theke eseche. ara yara kaphira hayeche sarvavasthaya tara vale esava naganya vastura upama dvara allahara uddesyai va kiy tini era dvara anekake vipathagami karena evam anekake sathika patha pradarsana karena, ara era dvara tini sudhu phasikaderakei (papista, anacari) vipathagami kare thakena."
2,27,"yārā āllāhara saṅge dṛr̤habhāve oẏādāvaddha havāra para tā bhaṅga kare evaṃ aisava samparka chinna kare yā akṣunna rākhate āllāha nirdeśa diẏechena evaṃ pṛthivīte phāsāda sṛṣṭi kare, tārāi kṣatigrasta.","yara allahara sange drrhabhave oyadavaddha havara para ta bhanga kare evam aisava samparka chinna kare ya aksunna rakhate allaha nirdesa diyechena evam prthivite phasada srsti kare, tarai ksatigrasta."
2,28,"kibhāve tomarā āllāhake asvīkāra karacha? athaca tomarā nirjīva chile, pare tinii tomāderake jīvana dāna karechena, erapara tini tomādera mṛtyu ghaṭāvena, pare āvāra jīvita karavena, avaśeṣe tomāderake tā~rai dike phire yete have.","kibhave tomara allahake asvikara karachay athaca tomara nirjiva chile, pare tinii tomaderake jivana dana karechena, erapara tini tomadera mrtyu ghatavena, pare avara jivita karavena, avasese tomaderake ta~rai dike phire yete have."
2,29,"tini sei svattvā yini pṛthivīte yā kichū āche sava tomādera janya sṛṣṭi karechena; ataḥpara tini ākāśera prati manoniveśa karena, evaṃ seguloke sapta ākāśe suvinyasta karena. āra tini sarva viṣaẏe mahājñānī.","tini sei svattva yini prthivite ya kichu ache sava tomadera janya srsti karechena; atahpara tini akasera prati manonivesa karena, evam seguloke sapta akase suvinyasta karena. ara tini sarva visaye mahajnani."
2,30,āra (smaraṇa kara sei samaẏera kathā) yakhana tomāra rava phereśatāgaṇake valalena: niścaẏai āmi pṛthivīte pratinidhi sṛṣṭi karava; tārā valala āpani ki emana kāuke sṛṣṭi karavena yārā sekhāne vivāda karave evaṃ raktapāta ghaṭāve? athaca āmarāi to āpanāra praśaṃsā-guṇagāna karachi evaṃ āpanārai pavitratā varṇanā kare thāki. tini valalena: niścaẏa āmi ye viṣaẏe jñāna rākhi tomarā tā jāna nā.,ara (smarana kara sei samayera katha) yakhana tomara rava pheresataganake valalena: niscayai ami prthivite pratinidhi srsti karava; tara valala apani ki emana kauke srsti karavena yara sekhane vivada karave evam raktapata ghatavey athaca amarai to apanara prasamsa-gunagana karachi evam apanarai pavitrata varnana kare thaki. tini valalena: niscaya ami ye visaye jnana rakhi tomara ta jana na.
2,31,"āra tini ādamake samasta nāma śikṣā dilena, ataḥpara tā phereśatādera sāmane upasthāpana karalena; erapara valalena: yadi tomarā satyavādī hao, tave āmāke esava vastura nāmasamūha vale dāo.","ara tini adamake samasta nama siksa dilena, atahpara ta pheresatadera samane upasthapana karalena; erapara valalena: yadi tomara satyavadi hao, tave amake esava vastura namasamuha vale dao."
2,32,"tārā valala, āmarā āpanāra pavitratā varṇanā karachi. āpani āmāderake yā śikṣā diẏechena tāchār̤ā āmādera konai jñāna nei; niścaẏai āpani mahājñānī, prajñāmaẏa.","tara valala, amara apanara pavitrata varnana karachi. apani amaderake ya siksa diyechena tachara amadera konai jnana nei; niscayai apani mahajnani, prajnamaya."
2,33,"āllāha valalena, he ādama! tumi tāderake ai sakala nāmasamūha jāniẏe dāo; ataḥpara yakhana tini tāderake aigulora nāmasamūha jāniẏe dilena; takhana āllāha valechilena, āmi ki tomāderake valini ye, niścaẏa āmi nabhomaṇḍala o bhūmaṇḍalera adṛśya viṣaẏa avagata āchi evaṃ tomarā yā prakāśa kara āra yā gopana kara tāo āmi jāni.","allaha valalena, he adama! tumi taderake ai sakala namasamuha janiye dao; atahpara yakhana tini taderake aigulora namasamuha janiye dilena; takhana allaha valechilena, ami ki tomaderake valini ye, niscaya ami nabhomandala o bhumandalera adrsya visaya avagata achi evam tomara ya prakasa kara ara ya gopana kara tao ami jani."
2,34,"āra (smaraṇa kara) āmi yakhana phereśatāgaṇake valalāma, tomarā ādamake sijadā kara, takhana ivalisa vyatīta sakale sijadā karechila. se asvīkāra karala o ahaṃkāra karala evaṃ kāphiradera antarbhukta haẏe gela.","ara (smarana kara) ami yakhana pheresataganake valalama, tomara adamake sijada kara, takhana ivalisa vyatita sakale sijada karechila. se asvikara karala o ahamkara karala evam kaphiradera antarbhukta haye gela."
2,35,"āra āmi valalāma- he ādama! tumi o tomāra sahadharmiṇī jānnāte vasavāsa kara evaṃ tā hate yā icchā svacchande āhāra kara; kintu ai vṛkṣera nikaṭavartī haẏo nā, tāhale tomarā atyācārīgaṇera antarbhukta haẏe yāve.","ara ami valalama- he adama! tumi o tomara sahadharmini jannate vasavasa kara evam ta hate ya iccha svacchande ahara kara; kintu ai vrksera nikatavarti hayo na, tahale tomara atyacariganera antarbhukta haye yave."
2,36,"anantara śaẏatāna tādera ubhaẏake sekhāna theke padaskhalita karala evaṃ tārā yekhāne chilena sekhāna theke tāderake vera kare dila evaṃ āmi valalāma, neme yāo, tomarā paraspara parasparera śatra“. āra pṛthivītei tomādera janya eka nirdiṣṭakālera vasavāsa o bhoga-sampada raẏeche.","anantara sayatana tadera ubhayake sekhana theke padaskhalita karala evam tara yekhane chilena sekhana theke taderake vera kare dila evam ami valalama, neme yao, tomara paraspara parasparera satra“. ara prthivitei tomadera janya eka nirdistakalera vasavasa o bhoga-sampada rayeche."
2,37,"ataḥpara ādama tā~ra ravera pakṣa hate katipaẏa vākya śikṣā grahaṇa karalena (tāovāha karalena), āllāha tā~ra tāovāha kavūla karalena, tā~ke kṣamā karalena. niścaẏa tini kṣamāśīla, karuṇāmaẏa.","atahpara adama ta~ra ravera paksa hate katipaya vakya siksa grahana karalena (taovaha karalena), allaha ta~ra taovaha kavula karalena, ta~ke ksama karalena. niscaya tini ksamasila, karunamaya."
2,38,"āmi valalāma, tomarā savāi ekhāna (jānnāta) theke nice neme yāo. pare āmāra pakṣa hate tomādera nikaṭa hidāẏāta upasthita hale yārā āmāra sei hidāẏātera anusaraṇa karave tādera konai bhaẏa nei evaṃ tārā cintitao have nā.","ami valalama, tomara savai ekhana (jannata) theke nice neme yao. pare amara paksa hate tomadera nikata hidayata upasthita hale yara amara sei hidayatera anusarana karave tadera konai bhaya nei evam tara cintitao have na."
2,39,"āra yārā kupharī karave o āmāra nidarśanasamūhe mithyāropa karave tārāi jāhānnāmera adhivāsī, sekhāne tārā cirakāla avasthāna karave.","ara yara kuphari karave o amara nidarsanasamuhe mithyaropa karave tarai jahannamera adhivasi, sekhane tara cirakala avasthana karave."
2,40,"he isarāīla vaṃśadhara! āmi tomāderake ye neẏāmata dāna karechi tā smaraṇa kara, āmio tomādera aṅgīkāra pūrṇa karava āra tomarā śudhu āmākei bhaẏa kara.","he isaraila vamsadhara! ami tomaderake ye neyamata dana karechi ta smarana kara, amio tomadera angikara purna karava ara tomara sudhu amakei bhaya kara."
2,41,"āra āmi yā avatīrṇa karechi tāte īmāna āna, tomādera sāthe yā āche tā tā~rai satyatā pramāṇakārī evaṃ ete tomarāi prathama aviśvāsī haẏo nā. āra āmāra āẏātasamūhera parivarte sāmānya mūlya grahaṇa kara nā evaṃ tomarā āmākei bhaẏa kara.","ara ami ya avatirna karechi tate imana ana, tomadera sathe ya ache ta ta~rai satyata pramanakari evam ete tomarai prathama avisvasi hayo na. ara amara ayatasamuhera parivarte samanya mulya grahana kara na evam tomara amakei bhaya kara."
2,42,āra tomarā satyake mithyāra sāthe miśrita kara nā evaṃ jene vujhe satya gopana kara nā.,ara tomara satyake mithyara sathe misrita kara na evam jene vujhe satya gopana kara na.
2,43,āra tomarā sālāta pratiṣṭhā kara o yākāta pradāna kara evaṃ rukūkārīdera sāthe rukū kara.,ara tomara salata pratistha kara o yakata pradana kara evam rukukaridera sathe ruku kara.
2,44,tomarā ki lokederake sat kārye ādeśa karacha evaṃ nijederake bhule yāccha; athaca tomarā kitāva (tāorāta) pāṭha kara. tave ki tomarā hṛdaẏaṅgama karacha nā?,tomara ki lokederake sat karye adesa karacha evam nijederake bhule yaccha; athaca tomara kitava (taorata) patha kara. tave ki tomara hrdayangama karacha nay
2,45,āra tomarā dhairya o sālātera mādhyame sāhāyya prārthanā kara. e kāja khuvai kaṭhina tave vinaẏīgaṇa vyatīta.,ara tomara dhairya o salatera madhyame sahayya prarthana kara. e kaja khuvai kathina tave vinayigana vyatita.
2,46,"yārā viśvāsa kare ye, niścaẏa tārā tādera pratipālakera sāthe sākṣāta karave evaṃ tārā tā~rai dike pratyāvartanakārī.","yara visvasa kare ye, niscaya tara tadera pratipalakera sathe saksata karave evam tara ta~rai dike pratyavartanakari."
2,47,he vānī isarāīla! āmi tomāderake ye neẏāmata dāna karechi tā smaraṇa kara. āra āmi tomāderake samagra pṛthivīra opara śreṣṭhatva dāna karechi.,he vani isaraila! ami tomaderake ye neyamata dana karechi ta smarana kara. ara ami tomaderake samagra prthivira opara sresthatva dana karechi.
2,48,"tomarā se dinake bhaẏa kara ye dina kona vyakti anya kona vyakti hate kichumātra upakṛta have nā evaṃ kona vyakti hate kona supāriśa gṛhīta have nā, kona vyakti hate kona vinimaẏao grahaṇa karā have nā evaṃ sāhāyyaprāptao have nā.","tomara se dinake bhaya kara ye dina kona vyakti anya kona vyakti hate kichumatra upakrta have na evam kona vyakti hate kona suparisa grhita have na, kona vyakti hate kona vinimayao grahana kara have na evam sahayyapraptao have na."
2,49,"ārao tomarā smaraṇa kara, yakhana āmi tomāderake phirā‘unera sampradāẏa hate mukta karechilāma. tārā tomādera putra santānadera hatyā kare o tomādera nārīderake jīvita rekhe tomādera marmāntika śāsti dita evaṃ ete tomādera pratipālakera pakṣa hate tomādera janya mahāparīkṣā chila.","arao tomara smarana kara, yakhana ami tomaderake phira‘unera sampradaya hate mukta karechilama. tara tomadera putra santanadera hatya kare o tomadera nariderake jivita rekhe tomadera marmantika sasti dita evam ete tomadera pratipalakera paksa hate tomadera janya mahapariksa chila."
2,50,"ārao smaraṇa kara, yakhana āmi tomādera janya samudrake vibhakta karechilāma, ataḥpara tomāderake (sekhāna theke) uddhāra karechilāma. āra phirā‘unera goṣṭhīke ḍuviẏe diẏechilāma ematavasthāẏa tomarā tā pratyakṣa karachile.","arao smarana kara, yakhana ami tomadera janya samudrake vibhakta karechilama, atahpara tomaderake (sekhana theke) uddhara karechilama. ara phira‘unera gosthike duviye diyechilama ematavasthaya tomara ta pratyaksa karachile."
2,51,"ārao smaraṇa kara, yakhana āmi mūsāra saṅge calliśa rātrira aṅgīkāra karechilāma, tārapara tomarā go-vatsake (mā‘vūda hiseve) grahaṇa karechile evaṃ tomarā atyācārī chile.","arao smarana kara, yakhana ami musara sange callisa ratrira angikara karechilama, tarapara tomara go-vatsake (ma‘vuda hiseve) grahana karechile evam tomara atyacari chile."
2,52,tā sattveo āmi tomāderake kṣamā karechilāma yena tomarā kṛtajñatā prakāśa kara.,ta sattveo ami tomaderake ksama karechilama yena tomara krtajnata prakasa kara.
2,53,"ārao smaraṇa kara, yakhana āmi mūsāke kitāva (tāorāta) o phurakāna (satya-mithyāra pārthakyakārī) diẏechilāma, yāte tomarā hidāẏāta lābha karate pāra.","arao smarana kara, yakhana ami musake kitava (taorata) o phurakana (satya-mithyara parthakyakari) diyechilama, yate tomara hidayata labha karate para."
2,54,"ārao smaraṇa kara, yakhana mūsā svīẏa sampradāẏake valalena: he āmāra sampradāẏa! niścaẏa tomarā go-vatsake (ivādatera janya) grahaṇa kare tomādera nijedera prati anyāẏa karecho; ataeva tomarā tomādera sṛṣṭikartāra nikaṭa kṣamā prārthanā kara, āra tomarā nijederake hatyā kara; tomādera sṛṣṭikartāra nikaṭa eṭāi tomādera janya kalyāṇakara; ataḥpara tini tomādera tāovāha kavūla karechilena, niścaẏa tini tāovāha kavūlakārī, karuṇāmaẏa.","arao smarana kara, yakhana musa sviya sampradayake valalena: he amara sampradaya! niscaya tomara go-vatsake (ivadatera janya) grahana kare tomadera nijedera prati anyaya karecho; ataeva tomara tomadera srstikartara nikata ksama prarthana kara, ara tomara nijederake hatya kara; tomadera srstikartara nikata etai tomadera janya kalyanakara; atahpara tini tomadera taovaha kavula karechilena, niscaya tini taovaha kavulakari, karunamaya."
2,55,"āra yakhana tomarā valechile, he mūsā! āmarā āllāhake prakāśyabhāve nā dekhā paryanta tomāra prati īmāna ānava nā takhana vajra tomāderake ākramaṇa karechila o tomarā tā pratyakṣa karechile.","ara yakhana tomara valechile, he musa! amara allahake prakasyabhave na dekha paryanta tomara prati imana anava na takhana vajra tomaderake akramana karechila o tomara ta pratyaksa karechile."
2,56,ataḥpara tomādera mṛtyura para āmi tomāderake jīvita karechilāma yena tomarā kṛtajñatā prakāśa kara.,atahpara tomadera mrtyura para ami tomaderake jivita karechilama yena tomara krtajnata prakasa kara.
2,57,"āra āmi tomādera opara meghamālāra chāẏā dāna karechilāma evaṃ tomādera prati ‘mānnā’o ‘sālaoẏā’avatīrṇa karechilāma. āmi tomādera ye jīvikā dāna karechi se pavitra jinisa hate khāo. āsale tārā āmāra opara kona juluma kareni, varaṃ tārā nijedera oparai juluma karechila.","ara ami tomadera opara meghamalara chaya dana karechilama evam tomadera prati ‘manna’o ‘salaoya’avatirna karechilama. ami tomadera ye jivika dana karechi se pavitra jinisa hate khao. asale tara amara opara kona juluma kareni, varam tara nijedera oparai juluma karechila."
2,58,"ārao smaraṇa kara, yakhana āmi valalāma, tomarā e nagare praveśa kara. ataḥpara sethā hate icchāmata khāo evaṃ nataśire darajā diẏe praveśa kara evaṃ tomarā vala- āmarā kṣamā prārthanā karachi, tāhale āmi tomādera aparādhasamūha kṣamā karava. vastuta āmi acirei satkarmaśīlagaṇake adhikatara dāna karava.","arao smarana kara, yakhana ami valalama, tomara e nagare pravesa kara. atahpara setha hate icchamata khao evam natasire daraja diye pravesa kara evam tomara vala- amara ksama prarthana karachi, tahale ami tomadera aparadhasamuha ksama karava. vastuta ami acirei satkarmasilaganake adhikatara dana karava."
2,59,anantara yārā atyācāra karechila tāderake yā valā haẏechila tāra parivarte tārā anya kathā valala. ataḥpara āmi āsamāna theke yālimadera opara śāsti nāyila karalāma yehetu tārā chila avādhya.,anantara yara atyacara karechila taderake ya vala hayechila tara parivarte tara anya katha valala. atahpara ami asamana theke yalimadera opara sasti nayila karalama yehetu tara chila avadhya.
2,60,"ārao smaraṇa kara, yakhana mūsā svīẏa sampradāẏera janya pāni prārthanā karala takhana āmi valalāma: tumi svīẏa lāṭhi dvārā pāthare āghāta kara; phale tā hate vāraṭi jharṇā pravāhita hala. pratyekei sva-sva ghāṭa jene nila. tomarā āllāhara riyika hate khāo evaṃ pāna kara. āra pṛthivīte viparyaẏa sṛṣṭikārīrūpe vicaraṇa karo nā.","arao smarana kara, yakhana musa sviya sampradayera janya pani prarthana karala takhana ami valalama: tumi sviya lathi dvara pathare aghata kara; phale ta hate varati jharna pravahita hala. pratyekei sva-sva ghata jene nila. tomara allahara riyika hate khao evam pana kara. ara prthivite viparyaya srstikarirupe vicarana karo na."
2,61,"ārao smaraṇa kara, yakhana tomarā valechile, he mūsā! āmarā ekairūpa khādye kakhano dhairyadhāraṇa karava nā. ataeva tumi āmādera janya tomāra ravera nikaṭa prārthanā kara yena tini jamina yā utpanna kare tā hate śāka-savji, kā~kur̤a, gama, masura evaṃ pe~ẏāja pradāna karena. se valala: yā utkṛṣṭa tomarā ki tāra saṅge yā nikṛṣṭa tāra vinimaẏa karate cāo? tomarā kona nagare upanīta hao tave yā ceẏecha tā pāve. āra tādera opara lāñchanā o dāridra nipatita hala evaṃ tārā āllāhara krodhe patita hala. eṭā ejanya ye, niścaẏa tārā āllāhara nidarśanasamūha asvīkāra karata evaṃ anyāẏabhāve nāvīgaṇake hatyā karata; āra e kāraṇeo ye, tārā avādhyācaraṇa karechila evaṃ sīmālaṅghana karechila.","arao smarana kara, yakhana tomara valechile, he musa! amara ekairupa khadye kakhano dhairyadharana karava na. ataeva tumi amadera janya tomara ravera nikata prarthana kara yena tini jamina ya utpanna kare ta hate saka-savji, ka~kura, gama, masura evam pe~yaja pradana karena. se valala: ya utkrsta tomara ki tara sange ya nikrsta tara vinimaya karate caoy tomara kona nagare upanita hao tave ya ceyecha ta pave. ara tadera opara lanchana o daridra nipatita hala evam tara allahara krodhe patita hala. eta ejanya ye, niscaya tara allahara nidarsanasamuha asvikara karata evam anyayabhave naviganake hatya karata; ara e karaneo ye, tara avadhyacarana karechila evam simalanghana karechila."
