surah,ayah,latin_iast,latin_ascii
2,19,"kiṃvā ākāśera varṣaṇamukhara meghera nyāẏa, yāte raẏeche ghana andhakāra, vajradhvani o vidyutcamaka. vajrera garjane tārā mṛtyura bhaẏe tādera kāne āṅula diẏe rākhe. āra āllāha kāphiraderake pariveṣṭana kare āchena.","kimva akasera varsanamukhara meghera nyaya, yate rayeche ghana andhakara, vajradhvani o vidyutcamaka. vajrera garjane tara mrtyura bhaye tadera kane anula diye rakhe. ara allaha kaphiraderake parivestana kare achena."
2,20,"vidyutcamaka tādera dṛṣṭi ker̤e neẏāra upakrama haẏa. yakhanai tā tādera janya ālo deẏa, tārā tāte calate thāke. āra yakhana tā tādera upara andhakāra kare deẏa, tārā dā~r̤iẏe par̤e. āra āllāha yadi cāitena, avaśyai tādera śravaṇa o cokhasamūha niẏe nitena. niścaẏa āllāha sava kichura upara kṣamatāvāna.","vidyutcamaka tadera drsti kere neyara upakrama haya. yakhanai ta tadera janya alo deya, tara tate calate thake. ara yakhana ta tadera upara andhakara kare deya, tara da~riye pare. ara allaha yadi caitena, avasyai tadera sravana o cokhasamuha niye nitena. niscaya allaha sava kichura upara ksamatavana."
2,21,"he mānuṣa, tomarā tomādera ravera ivādāta kara, yini sṛṣṭi karechena tomāderake evaṃ tomādera pūrve yārā chila tāderake, yāte tomarā tākaoẏā avalamvana kara.","he manusa, tomara tomadera ravera ivadata kara, yini srsti karechena tomaderake evam tomadera purve yara chila taderake, yate tomara takaoya avalamvana kara."
2,22,"yini tomādera janya yamīnake karechena vichānā, āsamānake chāda evaṃ āsamāna theke nāyila karechena vṛṣṭi. ataḥpara tā~ra mādhyame utpanna karechena phala-phalādi, tomādera janya riykasvarūpa. sutarāṃ tomarā jene-vujhe āllāhara janya samakakṣa nirdhāraṇa karo nā.","yini tomadera janya yaminake karechena vichana, asamanake chada evam asamana theke nayila karechena vrsti. atahpara ta~ra madhyame utpanna karechena phala-phaladi, tomadera janya riykasvarupa. sutaram tomara jene-vujhe allahara janya samakaksa nirdharana karo na."
2,23,"āra āmi āmāra vāndāra upara yā nāyila karechi, yadi tomarā se samparke sandehe thāka, tave tomarā tāra mata ekaṭi sūrā niẏe āsa evaṃ āllāha chār̤ā tomādera sākṣīsamūhake ḍāka; yadi tomarā satyavādī hao.","ara ami amara vandara upara ya nayila karechi, yadi tomara se samparke sandehe thaka, tave tomara tara mata ekati sura niye asa evam allaha chara tomadera saksisamuhake daka; yadi tomara satyavadi hao."
2,24,"ataeva yadi tomarā tā nā kara- āra kakhano tomarā tā karave nā- tāhale āgunake bhaẏa kara yāra jvālānī have mānuṣa o pāthara, yā prastuta karā haẏeche kāphiradera janya.","ataeva yadi tomara ta na kara- ara kakhano tomara ta karave na- tahale agunake bhaya kara yara jvalani have manusa o pathara, ya prastuta kara hayeche kaphiradera janya."
2,25,"yārā īmāna eneche evaṃ neka kāja kareche tumi tāderake susaṃvāda dāo ye, tādera janya raẏeche jānnātasamūha, yāra taladeśa diẏe pravāhita have nadīsamūha. yakhanai tāderake jānnāta theke kona phala khete deẏā have, tārā valave, ‘eṭāi to pūrve āmāderake khete deẏā haẏechila’. āra tāderake tā deẏā have sādṛśyapūrṇa kare evaṃ tādera janya tāte thākave pavitra strīgaṇa evaṃ tārā sekhāne have sthāẏī.","yara imana eneche evam neka kaja kareche tumi taderake susamvada dao ye, tadera janya rayeche jannatasamuha, yara taladesa diye pravahita have nadisamuha. yakhanai taderake jannata theke kona phala khete deya have, tara valave, ‘etai to purve amaderake khete deya hayechila’. ara taderake ta deya have sadrsyapurna kare evam tadera janya tate thakave pavitra strigana evam tara sekhane have sthayi."
2,26,"niścaẏa āllāha maśā kiṃvā tāra ceẏeo choṭa kichura upamā dite lajjā karena nā. sutarāṃ yārā īmāna eneche tārā jāne, niścaẏa tā tādera ravera pakṣa theke satya. āra yārā kupharī kareche tārā vale, āllāha era mādhyame upamā diẏe kī ceẏechena? tini e diẏe anekake pathabhraṣṭa karena evaṃ e diẏe anekake hidāẏāta dena. āra era mādhyame kevala phāsikaderakei pathabhraṣṭa karena.","niscaya allaha masa kimva tara ceyeo chota kichura upama dite lajja karena na. sutaram yara imana eneche tara jane, niscaya ta tadera ravera paksa theke satya. ara yara kuphari kareche tara vale, allaha era madhyame upama diye ki ceyechenay tini e diye anekake pathabhrasta karena evam e diye anekake hidayata dena. ara era madhyame kevala phasikaderakei pathabhrasta karena."
2,27,yārā āllāhara dṛr̤hakṛta aṅgīkāra bhaṅga kare evaṃ āllāha yā jor̤ā lāgānora nirdeśa diẏechena tā chinna kare evaṃ yamīne phāsāda kare. tārāi kṣatigrasta.,yara allahara drrhakrta angikara bhanga kare evam allaha ya jora laganora nirdesa diyechena ta chinna kare evam yamine phasada kare. tarai ksatigrasta.
2,28,kībhāve tomarā āllāhara sāthe kupharī karacha athaca tomarā chile mṛta? ataḥpara tini tomāderake jīvita karechena. erapara tini tomāderake mṛtyu devena ataḥpara jīvita karavena. erapara tā~rai nikaṭa tomāderake phiriẏe neẏā have.,kibhave tomara allahara sathe kuphari karacha athaca tomara chile mrtay atahpara tini tomaderake jivita karechena. erapara tini tomaderake mrtyu devena atahpara jivita karavena. erapara ta~rai nikata tomaderake phiriye neya have.
2,29,tinii yamīne yā āche sava tomādera janya sṛṣṭi karechena. tārapara āsamānera prati kheẏāla karalena evaṃ tāke sāta āsamāne suvinyasta karalena. āra sava kichu samparke tini samyaka jñāta.,tinii yamine ya ache sava tomadera janya srsti karechena. tarapara asamanera prati kheyala karalena evam take sata asamane suvinyasta karalena. ara sava kichu samparke tini samyaka jnata.
2,30,"āra smaraṇa kara, yakhana tomāra rava phereśatāderake valalena, ‘niścaẏa āmi yamīne ekajana khalīphā sṛṣṭi karachi’, tārā valala, ‘āpani ki sekhāne emana kāuke sṛṣṭi karavena, ye tāte phāsāda karave evaṃ rakta pravāhita karave? āra āmarā to āpanāra praśaṃsāẏa tāsavīha pāṭha karachi evaṃ āpanāra pavitratā ghoṣaṇā karachi. tini valalena, niścaẏa āmi jāni yā tomarā jāna nā.","ara smarana kara, yakhana tomara rava pheresataderake valalena, ‘niscaya ami yamine ekajana khalipha srsti karachi’, tara valala, ‘apani ki sekhane emana kauke srsti karavena, ye tate phasada karave evam rakta pravahita karavey ara amara to apanara prasamsaya tasaviha patha karachi evam apanara pavitrata ghosana karachi. tini valalena, niscaya ami jani ya tomara jana na."
