key,surah,ayah,word,latin_iast,latin_ascii
1:1:1,1,1,1,nāme,name
1:1:2,1,1,2,āllāha (ra),allaha (ra)
1:1:3,1,1,3,parama karuṇāmaẏa,parama karunamaya
1:1:4,1,1,4,asīma daẏālu,asima dayalu
1:1:5,1,1,5,(1),(1)
1:2:1,1,2,1,sakala praśaṃsā,sakala prasamsa
1:2:2,1,2,2,āllāhrai janya,allahrai janya
1:2:3,1,2,3,(yini) rava,(yini) rava
1:2:4,1,2,4,sārā jagatera,sara jagatera
1:2:5,1,2,5,(2),(2)
1:3:1,1,3,1,aśeṣa karuṇāmaẏa,asesa karunamaya
1:3:2,1,3,2,parama daẏālu,parama dayalu
1:3:3,1,3,3,(3),(3)
1:4:1,1,4,1,adhipati,adhipati
1:4:2,1,4,2,dinera,dinera
1:4:3,1,4,3,vicārera,vicarera
1:4:4,1,4,4,(4),(4)
1:5:1,1,5,1,āpanārai śudhu,apanarai sudhu
1:5:2,1,5,2,āmarā ivādata kari,amara ivadata kari
1:5:3,1,5,3,evaṃ āpanārai (kāche śudhu),evam apanarai (kache sudhu)
1:5:4,1,5,4,āmarā sāhāyya cāi.,amara sahayya cai.
1:5:5,1,5,5,(5),(5)
1:6:1,1,6,1,āmāderake dekhāna,amaderake dekhana
1:6:2,1,6,2,patha,patha
1:6:3,1,6,3,sarala saṭhika,sarala sathika
1:6:4,1,6,4,(6),(6)
1:7:1,1,7,1,(sei) pathe,(sei) pathe
1:7:2,1,7,2,yāderake,yaderake
1:7:3,1,7,3,āpani anugraha dāna karechena,apani anugraha dana karechena
1:7:4,1,7,4,tādera upara,tadera upara
1:7:5,1,7,5,naẏa (patha),naya (patha)
1:7:6,1,7,6,abhiśaptadera,abhisaptadera
1:7:7,1,7,7,yādera upara (gajava pareche),yadera upara (gajava pareche)
1:7:8,1,7,8,evaṃ nā,evam na
1:7:9,1,7,9,pathabhraṣṭadera,pathabhrastadera
1:7:10,1,7,10,(7),(7)
2:1:1,2,1,1,ālipha lā-ma mī-ma,alipha la-ma mi-ma
2:1:2,2,1,2,(1),(1)
2:2:1,2,2,1,(eṭā) sei,(eta) sei
2:2:2,2,2,2,mahāgrantha (āllāhara),mahagrantha (allahara)
2:2:3,2,2,3,nei,nei
2:2:4,2,2,4,kono sandeha,kono sandeha
2:2:5,2,2,5,tā~ramadhye,ta~ramadhye
2:2:6,2,2,6,satpatha nirdeśa (hedāẏāta),satpatha nirdesa (hedayata)
2:2:7,2,2,7,muttākīdera janya,muttakidera janya
2:2:8,2,2,8,(2),(2)
2:3:1,2,3,1,yārā,yara
2:3:2,2,3,2,viśvāsa kare,visvasa kare
2:3:3,2,3,3,adṛśyera opara,adrsyera opara
2:3:4,2,3,4,evaṃ pratiṣṭhita kare,evam pratisthita kare
2:3:5,2,3,5,sālāta,salata
2:3:6,2,3,6,o tā hate yā,o ta hate ya
2:3:7,2,3,7,tādera āmarā jīvikā diẏechi,tadera amara jivika diyechi
2:3:8,2,3,8,tārā vyaẏa kare,tara vyaya kare
2:3:9,2,3,9,(3),(3)
2:4:1,2,4,1,evaṃ yārā,evam yara
2:4:2,2,4,2,viśvāsa kare,visvasa kare
2:4:3,2,4,3,ai viṣaẏe yā,ai visaye ya
2:4:4,2,4,4,avatīrṇa karā haẏeche,avatirna kara hayeche
2:4:5,2,4,5,tomāra prati,tomara prati
2:4:6,2,4,6,evaṃ yā,evam ya
2:4:7,2,4,7,avatīrṇa karā haẏeche,avatirna kara hayeche
2:4:8,2,4,8,theke,theke
2:4:9,2,4,9,tomāra pūrve,tomara purve
2:4:10,2,4,10,evaṃ ākhirātera upara,evam akhiratera upara
2:4:11,2,4,11,tārā,tara
2:4:12,2,4,12,dṛr̤haviśvāsa rākhe,drrhavisvasa rakhe
2:4:13,2,4,13,(4),(4)
2:5:1,2,5,1,tārāi (pratiṣṭhita),tarai (pratisthita)
2:5:2,2,5,2,upara,upara
2:5:3,2,5,3,satyapathera,satyapathera
2:5:4,2,5,4,pakṣa hate,paksa hate
2:5:5,2,5,5,tādera ravera,tadera ravera
2:5:6,2,5,6,evaṃ tārāi (aisava loka),evam tarai (aisava loka)
2:5:7,2,5,7,yārā,yara
2:5:8,2,5,8,saphalakāma,saphalakama
2:5:9,2,5,9,(5),(5)
2:6:1,2,6,1,niścaẏai,niscayai
2:6:2,2,6,2,yārā,yara
2:6:3,2,6,3,aviśvāsa kareche,avisvasa kareche
2:6:4,2,6,4,samāna,samana
2:6:5,2,6,5,tādera janye,tadera janye
2:6:6,2,6,6,tādera tumi satarka kara ki,tadera tumi satarka kara ki
2:6:7,2,6,7,athavā,athava
2:6:8,2,6,8,nā,na
2:6:9,2,6,9,satarka kara tumi tāderake,satarka kara tumi taderake
2:6:10,2,6,10,nā,na
2:6:11,2,6,11,tārā īmāna ānave,tara imana anave
2:6:12,2,6,12,(6),(6)
2:7:1,2,7,1,sila mere diẏechena,sila mere diyechena
2:7:2,2,7,2,āllāha,allaha
2:7:3,2,7,3,upara,upara
2:7:4,2,7,4,tādera antarera,tadera antarera
2:7:5,2,7,5,evaṃ upara,evam upara
2:7:6,2,7,6,tādera śravaṇaśaktira,tadera sravanasaktira
2:7:7,2,7,7,evaṃ upara,evam upara
2:7:8,2,7,8,tādera dṛṣṭiśaktira,tadera drstisaktira
2:7:9,2,7,9,āvaraṇa (diẏechena),avarana (diyechena)
2:7:10,2,7,10,evaṃ tāderajanye (raẏeche),evam taderajanye (rayeche)
2:7:11,2,7,11,śāsti,sasti
2:7:12,2,7,12,kaṭhina,kathina
2:7:13,2,7,13,(7),(7)
2:8:1,2,8,1,evaṃ madhyahate,evam madhyahate
2:8:2,2,8,2,mānuṣera (emanao āche),manusera (emanao ache)
2:8:3,2,8,3,yārā,yara
2:8:4,2,8,4,vale,vale
2:8:5,2,8,5,''āmarā īmāna enechi,''amara imana enechi
2:8:6,2,8,6,āllāhara upara,allahara upara
2:8:7,2,8,7,o dinera upara,o dinera upara
2:8:8,2,8,8,ākhirātera'',akhiratera''
2:8:9,2,8,9,athaca nā,athaca na
2:8:10,2,8,10,tārā,tara
2:8:11,2,8,11,mumina,mumina
2:8:12,2,8,12,(8),(8)
2:9:1,2,9,1,tārā pratārita karate cāẏa,tara pratarita karate caya
2:9:2,2,9,2,āllāhake,allahake
2:9:3,2,9,3,o (tāderake) yārā,o (taderake) yara
2:9:4,2,9,4,īmāna eneche,imana eneche
2:9:5,2,9,5,kintu nā,kintu na
2:9:6,2,9,6,tārā pratārita kare,tara pratarita kare
2:9:7,2,9,7,chār̤ā,chara
2:9:8,2,9,8,tādera nijederake,tadera nijederake
2:9:9,2,9,9,evaṃ nā,evam na
2:9:10,2,9,10,tārā anubhava kare,tara anubhava kare
2:9:11,2,9,11,(9),(9)
2:10:1,2,10,1,madhye āche,madhye ache
2:10:2,2,10,2,tādera antara samūhera,tadera antara samuhera
2:10:3,2,10,3,roga (āche),roga (ache)
2:10:4,2,10,4,vṛddhi karalena tāi (ārao) tāderake,vrddhi karalena tai (arao) taderake
2:10:5,2,10,5,āllāh,allah
2:10:6,2,10,6,(tādera) roga,(tadera) roga
2:10:7,2,10,7,evaṃ tādera janya (raẏeche),evam tadera janya (rayeche)
2:10:8,2,10,8,śāsti,sasti
2:10:9,2,10,9,kaṣṭadāẏaka,kastadayaka
2:10:10,2,10,10,ejanye ye,ejanye ye
2:10:11,2,10,11,tārā chila,tara chila
2:10:12,2,10,12,tārā mithyā valato,tara mithya valato
2:10:13,2,10,13,(10),(10)
2:11:1,2,11,1,evaṃ yakhana,evam yakhana
2:11:2,2,11,2,valā haẏa,vala haya
2:11:3,2,11,3,tādera uddeśye,tadera uddesye
2:11:4,2,11,4,''nā,''na
2:11:5,2,11,5,viparyaẏa sṛṣṭi karo,viparyaya srsti karo
2:11:6,2,11,6,madhye,madhye
2:11:7,2,11,7,pṛthivīra'',prthivira''
2:11:8,2,11,8,tārā vale,tara vale
2:11:9,2,11,9,''mūlataḥ,''mulatah
2:11:10,2,11,10,āmarā,amara
2:11:11,2,11,11,saṃśodhanakārī'',samsodhanakari''
2:11:12,2,11,12,(11),(11)
2:12:1,2,12,1,sāvadhāna,savadhana
2:12:2,2,12,2,tārā niścaẏai,tara niscayai
2:12:3,2,12,3,tārāi,tarai
2:12:4,2,12,4,viparyaẏa sṛṣṭikārī,viparyaya srstikari
2:12:5,2,12,5,kintu,kintu
2:12:6,2,12,6,nā,na
2:12:7,2,12,7,tārā anubhava kare,tara anubhava kare
2:12:8,2,12,8,(12),(12)
2:13:1,2,13,1,evaṃ yakhana,evam yakhana
2:13:2,2,13,2,valā haẏa,vala haya
2:13:3,2,13,3,tādera uddeśye,tadera uddesye
2:13:4,2,13,4,''tomarā īmāna āno,''tomara imana ano
2:13:5,2,13,5,yemana,yemana
2:13:6,2,13,6,īmāna eneche,imana eneche
2:13:7,2,13,7,mānuṣa'',manusa''
2:13:8,2,13,8,tārā vale,tara vale
2:13:9,2,13,9,''āmarā ki īmāna ānavo,''amara ki imana anavo
2:13:10,2,13,10,yemana,yemana
2:13:11,2,13,11,īmāna eneche,imana eneche
2:13:12,2,13,12,vokārā'',vokara''
2:13:13,2,13,13,sāvadhāna,savadhana
2:13:14,2,13,14,niścaẏai tārā,niscayai tara
2:13:15,2,13,15,tārāi,tarai
2:13:16,2,13,16,vokā,voka
2:13:17,2,13,17,kintu,kintu
2:13:18,2,13,18,nā,na
2:13:19,2,13,19,tārā jāne,tara jane
2:13:20,2,13,20,(13),(13)
2:14:1,2,14,1,evaṃ yakhana,evam yakhana
2:14:2,2,14,2,tārā milita haẏa,tara milita haya
2:14:3,2,14,3,(tādera sāthe) yārā,(tadera sathe) yara
2:14:4,2,14,4,īmāna eneche,imana eneche
2:14:5,2,14,5,tārā vale,tara vale
2:14:6,2,14,6,''āmarā īmāna enechi'',''amara imana enechi''
2:14:7,2,14,7,evaṃ yakhana,evam yakhana
2:14:8,2,14,8,gopane mile,gopane mile
2:14:9,2,14,9,sāthe,sathe
2:14:10,2,14,10,tādera śaẏatāna (vandhudera),tadera sayatana (vandhudera)
2:14:11,2,14,11,tārā vale,tara vale
2:14:12,2,14,12,''niścaẏai āmarā,''niscayai amara
2:14:13,2,14,13,tomādera sāthe,tomadera sathe
2:14:14,2,14,14,mūlataḥ,mulatah
2:14:15,2,14,15,āmarā,amara
2:14:16,2,14,16,upahāsakārī (mu'minadera sāthe)'',upahasakari (mu'minadera sathe)''
2:14:17,2,14,17,(14),(14)
2:15:1,2,15,1,āllāh,allah
2:15:2,2,15,2,upahāsa karena,upahasa karena
2:15:3,2,15,3,tādera sāthe,tadera sathe
2:15:4,2,15,4,evaṃ tādera ḍhiladena,evam tadera dhiladena
2:15:5,2,15,5,madhye,madhye
2:15:6,2,15,6,tādera avādhyatāra,tadera avadhyatara
2:15:7,2,15,7,tārā udabhrānta haẏe phire,tara udabhranta haye phire
2:15:8,2,15,8,(15),(15)
2:16:1,2,16,1,tārāi (aisava loka),tarai (aisava loka)
2:16:2,2,16,2,yārā,yara
2:16:3,2,16,3,kineche,kineche
2:16:4,2,16,4,pathabhraśtatā,pathabhrastata
2:16:5,2,16,5,satpathera vinimaẏa,satpathera vinimaya
2:16:6,2,16,6,sutarāṃ nā,sutaram na
2:16:7,2,16,7,lābhajanaka haẏa,labhajanaka haya
2:16:8,2,16,8,tādera vyavasā,tadera vyavasa
2:16:9,2,16,9,evaṃ nā,evam na
2:16:10,2,16,10,tārā chila,tara chila
2:16:11,2,16,11,satpathe paricālita,satpathe paricalita
2:16:12,2,16,12,(16),(16)
2:17:1,2,17,1,tādera upamā,tadera upama
2:17:2,2,17,2,upamā yemana (eka vyaktira),upama yemana (eka vyaktira)
2:17:3,2,17,3,ye,ye
2:17:4,2,17,4,jvālālo,jvalalo
2:17:5,2,17,5,āguna,aguna
2:17:6,2,17,6,ataḥpara yakhana,atahpara yakhana
2:17:7,2,17,7,ālokita karalo,alokita karalo
2:17:8,2,17,8,yā,ya
2:17:9,2,17,9,tāra cārapāśe,tara carapase
2:17:10,2,17,10,nilena,nilena
2:17:11,2,17,11,āllāh,allah
2:17:12,2,17,12,tādera ālo niẏe,tadera alo niye
2:17:13,2,17,13,evaṃ tādera cher̤e dilena,evam tadera chere dilena
2:17:14,2,17,14,madhye,madhye
2:17:15,2,17,15,andhakāra samūhera,andhakara samuhera
2:17:16,2,17,16,nā,na
2:17:17,2,17,17,tārā dekhate pāẏa,tara dekhate paya
2:17:18,2,17,18,(17),(17)
2:18:1,2,18,1,vadhira,vadhira
2:18:2,2,18,2,vovā,vova
2:18:3,2,18,3,andha,andha
2:18:4,2,18,4,sutarāṃ tārā,sutaram tara
2:18:5,2,18,5,nā,na
2:18:6,2,18,6,pratyāvartana karave,pratyavartana karave
2:18:7,2,18,7,(18),(18)
2:19:1,2,19,1,athavā,athava
2:19:2,2,19,2,mato vṛṣṭipātera,mato vrstipatera
2:19:3,2,19,3,theke,theke
2:19:4,2,19,4,ākāśa,akasa
2:19:5,2,19,5,tāra madhye (āche),tara madhye (ache)
2:19:6,2,19,6,andhakāra,andhakara
2:19:7,2,19,7,evaṃ garjana,evam garjana
2:19:8,2,19,8,o vidyutcamaka,o vidyutcamaka
2:19:9,2,19,9,tārā rākhe,tara rakhe
2:19:10,2,19,10,tādera āṅgulaguloke,tadera angulaguloke
2:19:11,2,19,11,madhye,madhye
2:19:12,2,19,12,tādera kānagulora,tadera kanagulora
2:19:13,2,19,13,kārane,karane
2:19:14,2,19,14,vajradhvanira,vajradhvanira
2:19:15,2,19,15,bhaẏe,bhaye
2:19:16,2,19,16,mṛtyura,mrtyura
2:19:17,2,19,17,athaca āllāh,athaca allah
2:19:18,2,19,18,pariveṣṭanakārī,parivestanakari
2:19:19,2,19,19,kāphiradera,kaphiradera
2:19:20,2,19,20,(19),(19)
2:20:1,2,20,1,prāẏa,praya
2:20:2,2,20,2,vidyutcamaka,vidyutcamaka
2:20:3,2,20,3,ker̤e neẏa,kere neya
2:20:4,2,20,4,tādera dṛṣṭisamūhera,tadera drstisamuhera
2:20:5,2,20,5,yakhanai,yakhanai
2:20:6,2,20,6,ālokita haẏa,alokita haya
2:20:7,2,20,7,tādera janya,tadera janya
2:20:8,2,20,8,tārā cale,tara cale
2:20:9,2,20,9,tāramadhye,taramadhye
2:20:10,2,20,10,evaṃ yakhana,evam yakhana
2:20:11,2,20,11,andhakāra haẏa,andhakara haya
2:20:12,2,20,12,tādera upara,tadera upara
2:20:13,2,20,13,tārā dār̤iẏe yāẏa,tara dariye yaya
2:20:14,2,20,14,āra yadi,ara yadi
2:20:15,2,20,15,cāna,cana
2:20:16,2,20,16,āllāh,allah
2:20:17,2,20,17,avaśyai niẏe nivena,avasyai niye nivena
2:20:18,2,20,18,tādera śravaṇaśakti,tadera sravanasakti
2:20:19,2,20,19,evaṃ tādera darśanaśakti,evam tadera darsanasakti
2:20:20,2,20,20,niścaẏai,niscayai
2:20:21,2,20,21,āllāh,allah
2:20:22,2,20,22,upara,upara
2:20:23,2,20,23,sava,sava
2:20:24,2,20,24,kichura,kichura
2:20:25,2,20,25,sarvaśaktimāna,sarvasaktimana
2:20:26,2,20,26,(20),(20)
2:21:1,2,21,1,he,he
2:21:2,2,21,2,mānuṣa,manusa
2:21:3,2,21,3,tomarā ivādata karo,tomara ivadata karo
2:21:4,2,21,4,"tomādera ravera,","tomadera ravera,"
2:21:5,2,21,5,yini,yini
2:21:6,2,21,6,tomādera sṛṣṭi karechena,tomadera srsti karechena
2:21:7,2,21,7,evaṃ yārā (chila),evam yara (chila)
2:21:8,2,21,8,theke,theke
2:21:9,2,21,9,tomādera pūrva (tāderao sraṣṭā),tomadera purva (taderao srasta)
2:21:10,2,21,10,tomarā yena,tomara yena
2:21:11,2,21,11,ve~ce calate pāro (pāpa hate),ve~ce calate paro (papa hate)
2:21:12,2,21,12,(21),(21)
2:22:1,2,22,1,yini,yini
2:22:2,2,22,2,karechena,karechena
2:22:3,2,22,3,tomādera janya,tomadera janya
2:22:4,2,22,4,pṛthivīke,prthivike
2:22:5,2,22,5,śayyā,sayya
2:22:6,2,22,6,o ākāśake,o akasake
2:22:7,2,22,7,"chāda svarūpa,","chada svarupa,"
2:22:8,2,22,8,evaṃ varṣaṇa karechena,evam varsana karechena
2:22:9,2,22,9,theke,theke
2:22:10,2,22,10,ākāśa,akasa
2:22:11,2,22,11,"pāni,","pani,"
2:22:12,2,22,12,erapara vera karechena,erapara vera karechena
2:22:13,2,22,13,tā dvārā,ta dvara
2:22:14,2,22,14,kono,kono
2:22:15,2,22,15,(nānā dharaṇera) phalamūla,(nana dharanera) phalamula
2:22:16,2,22,16,riyaka hisāve,riyaka hisave
2:22:17,2,22,17,tomādera janya,tomadera janya
2:22:18,2,22,18,ataeva nā,ataeva na
2:22:19,2,22,19,dār̤a kario,dara kario
2:22:20,2,22,20,āllāhara sāthe,allahara sathe
2:22:21,2,22,21,samatulya (anya kāuke),samatulya (anya kauke)
2:22:22,2,22,22,athaca tomarā,athaca tomara
2:22:23,2,22,23,jāno,jano
2:22:24,2,22,24,(22),(22)
2:23:1,2,23,1,evaṃ yadi,evam yadi
2:23:2,2,23,2,tomarā thāka,tomara thaka
2:23:3,2,23,3,madhye,madhye
2:23:4,2,23,4,sandehera,sandehera
2:23:5,2,23,5,tā hate yā,ta hate ya
2:23:6,2,23,6,āmarā avatīrṇa karechi,amara avatirna karechi
2:23:7,2,23,7,upara,upara
2:23:8,2,23,8,"āmādera dāsera,","amadera dasera,"
2:23:9,2,23,9,tave tomarā āno,tave tomara ano
2:23:10,2,23,10,ekaṭi sūrā,ekati sura
2:23:11,2,23,11,madhya hate,madhya hate
2:23:12,2,23,12,tāra sadṛśa,tara sadrsa
2:23:13,2,23,13,evaṃ tomarā ḍāko,evam tomara dako
2:23:14,2,23,14,tomādera sākṣīderake,tomadera saksiderake
2:23:15,2,23,15,diẏe,diye
2:23:16,2,23,16,vāda,vada
2:23:17,2,23,17,āllāhake,allahake
2:23:18,2,23,18,yadi,yadi
2:23:19,2,23,19,tomarā hao,tomara hao
2:23:20,2,23,20,satyavādī,satyavadi
2:23:21,2,23,21,(23),(23)
2:24:1,2,24,1,kintu yadi,kintu yadi
2:24:2,2,24,2,nā,na
2:24:3,2,24,3,tomarā karo,tomara karo
2:24:4,2,24,4,evaṃ kakhanao nā,evam kakhanao na
2:24:5,2,24,5,tomarā karate pārave,tomara karate parave
2:24:6,2,24,6,tomarā bhaẏa karo,tomara bhaya karo
2:24:7,2,24,7,āgunera,agunera
2:24:8,2,24,8,yā (emana ye),ya (emana ye)
2:24:9,2,24,9,tāra indhana (have),tara indhana (have)
2:24:10,2,24,10,mānuṣa,manusa
2:24:11,2,24,11,o pātharasamūha,o patharasamuha
2:24:12,2,24,12,yā prastuuta karā haẏeche,ya prastuuta kara hayeche
2:24:13,2,24,13,kāphiradera janya,kaphiradera janya
2:24:14,2,24,14,(24),(24)
2:25:1,2,25,1,evaṃ susaṃvāda dāo,evam susamvada dao
2:25:2,2,25,2,(tāderake) yārā,(taderake) yara
2:25:3,2,25,3,īmāna eneche,imana eneche
2:25:4,2,25,4,o kāja kareche,o kaja kareche
2:25:5,2,25,5,sat,sat
2:25:6,2,25,6,ye,ye
2:25:7,2,25,7,tādera janye (raẏeche),tadera janye (rayeche)
2:25:8,2,25,8,jānnāta,jannata
2:25:9,2,25,9,pravāhita haẏa,pravahita haya
2:25:10,2,25,10,diẏe,diye
2:25:11,2,25,11,tāra nica,tara nica
2:25:12,2,25,12,jharṇādhārā,jharnadhara
2:25:13,2,25,13,yakhanai,yakhanai
2:25:14,2,25,14,tādera riyaka deẏā have,tadera riyaka deya have
2:25:15,2,25,15,tā theke,ta theke
2:25:16,2,25,16,kono,kono
2:25:17,2,25,17,phalamūla,phalamula
2:25:18,2,25,18,riyaka hiseve,riyaka hiseve
2:25:19,2,25,19,tārā valave,tara valave
2:25:20,2,25,20,''eṭā,''eta
2:25:21,2,25,21,(tāi) yā,(tai) ya
2:25:22,2,25,22,āmādera riyaka deoẏā haẏechila,amadera riyaka deoya hayechila
2:25:23,2,25,23,theke,theke
2:25:24,2,25,24,pūrva'',purva''
2:25:25,2,25,25,evaṃ tāderake yā deoẏā haẏechila,evam taderake ya deoya hayechila
2:25:26,2,25,26,(tā theke),(ta theke)
2:25:27,2,25,27,sadṛśa have (paraspare),sadrsa have (paraspare)
2:25:28,2,25,28,evaṃ tādera janye,evam tadera janye
2:25:29,2,25,29,tāramadhye (thākave),taramadhye (thakave)
2:25:30,2,25,30,strīrā,strira
2:25:31,2,25,31,pavitra,pavitra
2:25:32,2,25,32,evaṃ tārā,evam tara
2:25:33,2,25,33,tāra madhye,tara madhye
2:25:34,2,25,34,cirasthāẏī have,cirasthayi have
2:25:35,2,25,35,(25),(25)
2:26:1,2,26,1,niścaẏai,niscayai
2:26:2,2,26,2,āllāha,allaha
2:26:3,2,26,3,nā,na
2:26:4,2,26,4,lajjāvodha karena,lajjavodha karena
2:26:5,2,26,5,ye,ye
2:26:6,2,26,6,tini peśa karavena,tini pesa karavena
2:26:7,2,26,7,dṛṣṭānta,drstanta
2:26:8,2,26,8,yā,ya
2:26:9,2,26,9,maśā,masa
2:26:10,2,26,10,kiṃvā yā,kimva ya
2:26:11,2,26,11,tāraceẏe kṣudratara,taraceye ksudratara
2:26:12,2,26,12,tāi,tai
2:26:13,2,26,13,yārā,yara
2:26:14,2,26,14,īmāna eneche,imana eneche
2:26:15,2,26,15,jānate pāre takhana,janate pare takhana
2:26:16,2,26,16,tā niścaẏai,ta niscayai
2:26:17,2,26,17,satya,satya
2:26:18,2,26,18,pakṣa theke,paksa theke
2:26:19,2,26,19,tādera ravera,tadera ravera
2:26:20,2,26,20,pakṣāntare,paksantare
2:26:21,2,26,21,yārā,yara
2:26:22,2,26,22,aviśvāsa kareche,avisvasa kareche
2:26:23,2,26,23,tārā vale takhana,tara vale takhana
2:26:24,2,26,24,ki,ki
2:26:25,2,26,25,ceẏechena,ceyechena
2:26:26,2,26,26,āllāha,allaha
2:26:27,2,26,27,ei diẏe,ei diye
2:26:28,2,26,28,upamā,upama
2:26:29,2,26,29,tini vibhrānta karena,tini vibhranta karena
2:26:30,2,26,30,tā diẏe,ta diye
2:26:31,2,26,31,anekake,anekake
2:26:32,2,26,32,evaṃ patha pradarśana karena,evam patha pradarsana karena
2:26:33,2,26,33,tā diẏe,ta diye
2:26:34,2,26,34,"anekake,","anekake,"
2:26:35,2,26,35,evaṃ nā,evam na
2:26:36,2,26,36,vibhrānta karena,vibhranta karena
2:26:37,2,26,37,e diẏe,e diye
2:26:38,2,26,38,chār̤ā,chara
2:26:39,2,26,39,svatvatyāgīderake,svatvatyagiderake
2:26:40,2,26,40,(26),(26)
2:27:1,2,27,1,yārā,yara
2:27:2,2,27,2,bhaṅgakare,bhangakare
2:27:3,2,27,3,pratiśruti,pratisruti
2:27:4,2,27,4,āllāhara,allahara
2:27:5,2,27,5,theke,theke
2:27:6,2,27,6,pare,pare
2:27:7,2,27,7,"tā āvaddha haoẏāra,","ta avaddha haoyara,"
2:27:8,2,27,8,evaṃ tārā chinnakare,evam tara chinnakare
2:27:9,2,27,9,yā,ya
2:27:10,2,27,10,nirdeśa diẏechena,nirdesa diyechena
2:27:11,2,27,11,āllāha,allaha
2:27:12,2,27,12,tā~ra samparke,ta~ra samparke
2:27:13,2,27,13,ye,ye
2:27:14,2,27,14,yukta karate,yukta karate
2:27:15,2,27,15,evaṃ tārā viparyaẏa sṛṣṭi kare,evam tara viparyaya srsti kare
2:27:16,2,27,16,madhye,madhye
2:27:17,2,27,17,pṛthivīra,prthivira
2:27:18,2,27,18,"aisava (loka),","aisava (loka),"
2:27:19,2,27,19,(tārāi),(tarai)
2:27:20,2,27,20,kṣatigrasta,ksatigrasta
2:27:21,2,27,21,(27),(27)
2:28:1,2,28,1,kirūpe,kirupe
2:28:2,2,28,2,tomarā aviśvāsa karave,tomara avisvasa karave
2:28:3,2,28,3,āllāhara upara,allahara upara
2:28:4,2,28,4,athaca tomarā chile,athaca tomara chile
2:28:5,2,28,5,mṛta avasthāẏa,mrta avasthaya
2:28:6,2,28,6,pare tini tomādera jīvita karechena,pare tini tomadera jivita karechena
2:28:7,2,28,7,erapara,erapara
2:28:8,2,28,8,tomādera mṛtyu devena,tomadera mrtyu devena
2:28:9,2,28,9,erapara,erapara
2:28:10,2,28,10,tomādera jīvita karavena,tomadera jivita karavena
2:28:11,2,28,11,erapare,erapare
2:28:12,2,28,12,tā~ra dikei,ta~ra dikei
2:28:13,2,28,13,phire yete have tomāderake,phire yete have tomaderake
2:28:14,2,28,14,(28),(28)
2:29:1,2,29,1,tinii (āllāha),tinii (allaha)
2:29:2,2,29,2,yini,yini
2:29:3,2,29,3,sṛṣṭi karechena,srsti karechena
2:29:4,2,29,4,tomādera janye,tomadera janye
2:29:5,2,29,5,yā kichu,ya kichu
2:29:6,2,29,6,madhye (āche),madhye (ache)
2:29:7,2,29,7,"pṛthivīra,","prthivira,"
2:29:8,2,29,8,savakichukei,savakichukei
2:29:9,2,29,9,erapara,erapara
2:29:10,2,29,10,lakṣya dilena,laksya dilena
2:29:11,2,29,11,dike,dike
2:29:12,2,29,12,ākāśera,akasera
2:29:13,2,29,13,ataḥpara tāderake sampūrṇa karalena,atahpara taderake sampurna karalena
2:29:14,2,29,14,sāta,sata
2:29:15,2,29,15,ākāśa,akasa
2:29:16,2,29,16,evaṃ tini,evam tini
2:29:17,2,29,17,sava,sava
2:29:18,2,29,18,jinisa samparke,jinisa samparke
2:29:19,2,29,19,mahājñānī,mahajnani
2:29:20,2,29,20,(29),(29)
2:30:1,2,30,1,evaṃ (smaraṇa karo) yakhana,evam (smarana karo) yakhana
2:30:2,2,30,2,valechilena,valechilena
2:30:3,2,30,3,tomāra rava,tomara rava
2:30:4,2,30,4,phereśatādera uddeśe,pheresatadera uddese
2:30:5,2,30,5,''niścaẏai āmi,''niscayai ami
2:30:6,2,30,6,sṛṣṭikārī,srstikari
2:30:7,2,30,7,madhye,madhye
2:30:8,2,30,8,pṛthivītara,prthivitara
2:30:9,2,30,9,pratinidhi,pratinidhi
2:30:10,2,30,10,tārā valechilo,tara valechilo
2:30:11,2,30,11,''āpani ki sṛṣṭi karavena,''apani ki srsti karavena
2:30:12,2,30,12,tāra madhye (pṛthivīte),tara madhye (prthivite)
2:30:13,2,30,13,ye,ye
2:30:14,2,30,14,viparyaẏa sṛṣṭi karave,viparyaya srsti karave
2:30:15,2,30,15,tāra madhye,tara madhye
2:30:16,2,30,16,o jharāve,o jharave
2:30:17,2,30,17,rakta,rakta
2:30:18,2,30,18,evaṃ āmarāito,evam amaraito
2:30:19,2,30,19,pavitra mahimā ghoṣaṇā kari,pavitra mahima ghosana kari
2:30:20,2,30,20,āpanāra praśaṃsā,apanara prasamsa
2:30:21,2,30,21,o mahimā ghoṣaṇā kari,o mahima ghosana kari
2:30:22,2,30,22,āpanāra,apanara
2:30:23,2,30,23,tini valechilena,tini valechilena
2:30:24,2,30,24,''niścaẏai āmi,''niscayai ami
2:30:25,2,30,25,jāni,jani
2:30:26,2,30,26,yā,ya
2:30:27,2,30,27,nā,na
2:30:28,2,30,28,tomarā jāna'',tomara jana''
2:30:29,2,30,29,(30),(30)
2:31:1,2,31,1,evaṃ śikhālena,evam sikhalena
2:31:2,2,31,2,ādamake,adamake
2:31:3,2,31,3,nāmasamūha,namasamuha
2:31:4,2,31,4,savakichura,savakichura
2:31:5,2,31,5,erapara,erapara
2:31:6,2,31,6,segulo upasthāpana karalena,segulo upasthapana karalena
2:31:7,2,31,7,sāmane,samane
2:31:8,2,31,8,phereśatādera,pheresatadera
2:31:9,2,31,9,erapara valalena,erapara valalena
